,Topic,Word,P
0,0,psikotropika,0.0068052826
1,0,ganja,0.0066473354
2,0,motor,0.0060124286
3,0,palsu,0.0058221617
4,0,sepeda,0.0056978697
5,0,wilayah,0.0041505066
6,0,tahan,0.0037386657
7,0,tembakau,0.0036189582
8,0,diam,0.003590399
9,0,rutan,0.0034139429
10,1,psikotropika,0.008230601
11,1,pil,0.0072988323
12,1,diam,0.0058317776
13,1,butir,0.0058225566
14,1,sehat,0.0051880367
15,1,edar,0.004358357
16,1,sedia,0.004173372
17,1,alprazolam,0.0040642177
18,1,farmasi,0.0038128437
19,1,panggil,0.0037072105
20,2,psikotropika,0.006050429
21,2,korban,0.0046051852
22,2,pil,0.0043915715
23,2,alprazolam,0.0042731585
24,2,sepeda,0.0039097387
25,2,motor,0.0037454988
26,2,butir,0.003716885
27,2,menyalahgunakan,0.0034118325
28,2,laptop,0.0032398954
29,2,uang,0.003213825
